COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0101;Ambérieu-en-Bugey (0101);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0102;Attignat (0102);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0103;Valserhône (0103);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0104;Belley (0104);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0105;Bourg-en-Bresse-1 (0105);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0106;Bourg-en-Bresse-2 (0106);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0107;Ceyzériat (0107);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0108;Châtillon-sur-Chalaronne (0108);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0109;Gex (0109);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0110;Hauteville-Lompnes (0110);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0111;Lagnieu (0111);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0112;Meximieux (0112);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0113;Miribel (0113);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0114;Nantua (0114);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0115;Oyonnax (0115);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0116;Pont-d'Ain (0116);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0117;Replonges (0117);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0118;Saint-Étienne-du-Bois (0118);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0119;Saint-Genis-Pouilly (0119);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0120;Thoiry (0120);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0121;Trévoux (0121);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0122;Villars-les-Dombes (0122);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0123;Vonnas (0123);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0199;Bourg-en-Bresse (0199);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0201;Bohain-en-Vermandois (0201);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0202;Château-Thierry (0202);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0203;Chauny (0203);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0204;Essômes-sur-Marne (0204);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0205;Fère-en-Tardenois (0205);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0206;Guignicourt (0206);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0207;Guise (0207);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0208;Hirson (0208);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0209;Laon-1 (0209);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0210;Laon-2 (0210);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0211;Marle (0211);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0212;Ribemont (0212);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0213;Saint-Quentin-1 (0213);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0214;Saint-Quentin-2 (0214);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0215;Saint-Quentin-3 (0215);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0216;Soissons-1 (0216);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0217;Soissons-2 (0217);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0218;Tergnier (0218);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0219;Vervins (0219);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0220;Vic-sur-Aisne (0220);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0221;Villers-Cotterêts (0221);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0297;Laon (0297);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0298;Saint-Quentin (0298);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0299;Soissons (0299);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0301;Bellerive-sur-Allier (0301);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0302;Bourbon-l'Archambault (0302);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0303;Commentry (0303);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0304;Cusset (0304);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0305;Dompierre-sur-Besbre (0305);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0306;Gannat (0306);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0307;Huriel (0307);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0308;Lapalisse (0308);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0309;Montluçon-1 (0309);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0310;Montluçon-2 (0310);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0311;Montluçon-3 (0311);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0312;Montluçon-4 (0312);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0313;Moulins-1 (0313);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0314;Moulins-2 (0314);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0315;Saint-Pourçain-sur-Sioule (0315);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0316;Souvigny (0316);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0317;Vichy-1 (0317);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0318;Vichy-2 (0318);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0319;Yzeure (0319);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0397;Montluçon (0397);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0398;Moulins (0398);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0399;Vichy (0399);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0401;Barcelonnette (0401);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0402;Castellane (0402);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0403;Château-Arnoux-Saint-Auban (0403);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0404;Digne-les-Bains-1 (0404);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0405;Digne-les-Bains-2 (0405);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0406;Forcalquier (0406);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0407;Manosque-1 (0407);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0408;Manosque-2 (0408);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0409;Manosque-3 (0409);CHAR;5
